name,fantasy_score,name
"Lamar Jackson",435.0,Ravens
"Joe Burrow",412.0,Bengals
"Baker Mayfield",384.0,Buccaneers
"Josh Allen",384.0,Bills
"Jared Goff",367.5,Lions
"Jayden Daniels",360.0,Commanders
"Bo Nix",315.5,Broncos
"Sam Darnold",315.0,Seahawks
"Jalen Hurts",309.0,Eagles
"Kyler Murray",296.0,Cardinals
"Justin Herbert",286.0,Chargers
"Patrick Mahomes",282.5,Chiefs
"Brock Purdy",279.0,49ers
"Jordan Love",234.0,Packers
"C.J. Stroud",217.0,Texans
"Matthew Stafford",216.0,Rams
"Kirk Cousins",187.0,Falcons
"Bryce Young",186.0,Panthers
"Russell Wilson",171.0,Steelers
"Anthony Richardson",164.5,Colts
"Derek Carr",158.0,Saints
"Jameis Winston",146.0,Browns
"Dak Prescott",128.0,Cowboys
"Brandon Allen",5.0,Titans
"Tom Brady",0.0,Buccaneers
"Ben Roethlisberger",0.0,Steelers
"Aaron Rodgers",0.0,FA
"Ryan Fitzpatrick",0.0,Commanders
"Matt Ryan",0.0,FA
"Joe Flacco",0.0,Colts
"Chad Henne",0.0,Chiefs
"Josh Johnson",0.0,Ravens
"Chase Daniel",0.0,FA
"Brian Hoyer",0.0,Raiders
"Colt McCoy",0.0,FA
"Blaine Gabbert",0.0,FA
"Cam Newton",0.0,Panthers
"Colin Kaepernick",0.0,FA
"Andy Dalton",0.0,Panthers
"Tyrod Taylor",0.0,Jets
"Ryan Tannehill",0.0,FA
"Nick Foles",0.0,FA
"Case Keenum",0.0,Texans
"Mike Glennon",0.0,FA
"Geno Smith",0.0,Raiders
"Matt Barkley",0.0,FA
"Ryan Griffin",0.0,FA
"Teddy Bridgewater",0.0,Lions
"Jimmy Garoppolo",0.0,Rams
"AJ McCarron",0.0,Bengals
"Trevor Siemian",0.0,FA
"Sean Mannion",0.0,FA
"Taylor Heinicke",0.0,Chargers
"Carson Wentz",0.0,Chiefs
"Jeff Driskel",0.0,Commanders
"Marcus Mariota",0.0,Commanders
"Kevin Hogan",0.0,FA
"Jacoby Brissett",0.0,Cardinals
"Nathan Peterman",0.0,FA
"Cooper Rush",0.0,Ravens
"Nate Sudfeld",0.0,FA
"C.J. Beathard",0.0,Jaguars
"Mitchell Trubisky",0.0,Bills
"Chris Streveler",0.0,FA
"Kurt Benkert",0.0,FA
"Logan Woodside",0.0,FA
"Joshua Dobbs",0.0,Patriots
"Tim Boyle",0.0,Giants
"PJ Walker",0.0,FA
"Mike White",0.0,Bills
"Davis Webb",0.0,FA
"Nick Mullens",0.0,Jaguars
"Will Grier",0.0,Cowboys
"Kyle Allen",0.0,Lions
"Trace McSorley",0.0,FA
"David Blough",0.0,FA
"Mason Rudolph",0.0,Steelers
"Easton Stick",0.0,Chargers
"Deshaun Watson",0.0,Browns
"John Wolford",0.0,Jaguars
"Jake Luton",0.0,FA
"Bryce Perkins",0.0,FA
"Brett Rypien",0.0,Vikings
"Josh Rosen",0.0,FA
"Jake Browning",0.0,Bengals
"Jarrett Stidham",0.0,Broncos
"Ben DiNucci",0.0,Saints
"James Morgan",0.0,FA
"Daniel Jones",0.0,Colts
"Drew Lock",0.0,Giants
"Reid Sinnett",0.0,FA
"Kyle Trask",0.0,Buccaneers
"Jacob Eason",0.0,FA
"Anthony Brown Jr.",0.0,FA
"Tyler Huntley",0.0,Dolphins
"Nate Stanley",0.0,FA
"Skylar Thompson",0.0,Steelers
"Cole McDonald",0.0,FA
"Gardner Minshew",0.0,Chiefs
"Shane Buechele",0.0,Bills
"Chris Oladokun",0.0,Chiefs
"Ian Book",0.0,FA
"Anthony Gordon",0.0,FA
"Desmond Ridder",0.0,Raiders
"Tommy DeVito",0.0,Giants
"Jake Fromm",0.0,Lions
"Kenny Pickett",0.0,Browns
"Hendon Hooker",0.0,Lions
"Kellen Mond",0.0,FA
"Mac Jones",0.0,49ers
"Tua Tagovailoa",0.0,Dolphins
"Sam Ehlinger",0.0,Colts
"Malik Willis",0.0,Packers
"Davis Mills",0.0,Texans
"Jake Haener",0.0,Saints
"Nathan Rourke",0.0,FA
"Bailey Zappe",0.0,Chiefs
"Stetson Bennett",0.0,Rams
"Sean Clifford",0.0,Packers
"Aidan O'Connell",0.0,Raiders
"Clayton Tune",0.0,Cardinals
"Trevor Lawrence",0.0,Jaguars
"Michael Penix Jr.",0.0,Falcons
"Joe Milton III",0.0,Patriots
"Jordan Travis",0.0,Jets
"Zach Wilson",0.0,Dolphins
"Will Levis",0.0,Titans
"Carson Strong",0.0,FA
"Devin Leary",0.0,Ravens
"Matt Corral",0.0,FA
"Justin Fields",0.0,Jets
"Dorian Thompson-Robinson",0.0,Eagles
"Jaren Hall",0.0,Seahawks
"Trey Lance",0.0,Cowboys
"Spencer Rattler",0.0,Saints
"Sam Howell",0.0,Seahawks
"Max Duggan",0.0,FA
"Drake Maye",0.0,Patriots
"Caleb Williams",0.0,Bears
"J.J. McCarthy",0.0,Vikings
"Tyson Bagent",0.0,Bears
"Michael Pratt",0.0,Buccaneers
"Tanner McKee",0.0,Eagles
